sinhala,english,transliteration,pos,example_si,example_en
දහය සම්මතයි සර් හොඳයි නමුත් අපි මුදල් අයකර ගත්තොත් පමණයි,ten is standard sir fine but only if we recover the cash,dahaya sammathayi sar hondayi namuth api mudal ayakara gaththoth pamanayi,,,
අපිට විශ්වාසයි ලොකු අය එයාව අපි ළඟට විසි කළා,we sure big al threw him to us come on,apita wishwasayi loku aya eyawa api langata wisi kala,,,
අපොයි අපි ඔහුට මුදල් ආපසු දෙන්න යන්නේ කුමක්ද?,whoa what we re going to give him the money back,apoyi api ohuta mudal apasu denna yanne kumakda,,,
"රතු හිසකෙස් එය අවාසනාවකි, ඇය සැබෑ රතු හෙඩ් ජේක් මෙන් නොවේ",the red hair it s bad luck it s not like she s a real redhead jake,rathu hisakes eya awasanawaki eya sebe rathu hed jek men nowe,,,
මම ගෙදර යනවා අපි යමු ජේක්,i m going homelet s go jake,mama gedara yanawa api yamu jek,,,
මූනන් මෙන්න ෂිට් ඉතින් අපි එයාගෙන් ඈත් වෙලා ඉන්නේ,moonan here shit so what we just stay clear of him,menna ithin api eyagen eth wela inne,,,
අපි ලක්ෂ 20 පස්සේ කොච්චර යනවාද කියලා,how much we going after two million,api laksha passe kochchara yanawada kiyala,,,
එයා කොහොමද gillette වලට වැඩ කරන්නේ අපි හොදට ගෙවනවා,how s that he works for gillette we pay better,eya kohomada walata weda karanne api hodata gewanawa,,,
ඔව් මොන ජේක් උනත් නෑ ඔයා මොන දේ ඇතුලේ හිටියත් ඔයා එලියට ආවත්,yeah whatever jake no not whatever you re either in or you re out,ow mona jek unath ne oya mona de ethule hitiyath oya eliyata awath,,,
ඇය මේ සඳහා ඉදිරිපත් වේ ඇය ඒ සඳහා ඉදිරිපත් වේ,she up for this she s up for it,eya me sandaha idiripath we eya e sandaha idiripath we,,,
ඔබ එහි මීටර් අටකට පියාසර කරනු ඇත,you ll be there eight a m flight,oba ehi meetar atakata piyasara karanu etha,,,
ඉතින් ඒක තමයි ඒක,so that s it that s it,ithin eka thamayi eka,,,
මට එක අඩුවෙන් හොඳ කාර්ය මණ්ඩලයක් ඉන්නවා,i have a good crew minus one,mata eka aduwen honda karya mandalayak innawa,,,
ඇයි මට නැවත ලියන්න දෙන්නෙ නැත්තෙ මම ඒක කරන්නෙ නෑ,why not let me rephrase i won t do that,eyi mata newatha liyanna denne neththe mama eka karanne ne,,,
මට ඒක කරන්න බෑ ඇයි බැරි,i can t do that why not,mata eka karanna be eyi beri,,,
මම හිතන්නේ මිලියන දෙකක්,how much i think two million,mama hithanne miliyana dekak,,,
මට ඔයාව පන්නන්න ඕනේ,i need you to stake me stake you,mata oyawa pannanna one,,,
මට සමාවෙන්න මම කිව්වා ඔයාගේ මගුල් කමිසය ගලවන්න කියලා,excuse me i said take off your fucking shirt,mata samawenna mama kiwwa oyage magul kamisaya galawanna kiyala,,,
මෙතනට එන්න මේක දැනෙනවා නෑ ස්තුතියි මම හොඳයි,come here feel this no thanks i m good,methanata enna meka denenawa ne sthuthiyi mama hondayi,,,
නෑ ස්තුතියි මම මෙතනට එන්න හොඳයි,no thanks i m good come here,ne sthuthiyi mama methanata enna hondayi,,,
එන්න අමාරුයි මම හිතන්නේ මම මගේ අත කැඩුවා විතරයි,come on harder i think i just broke my hand,enna amaruyi mama hithanne mama mage atha keduwa witharayi,,,
මොකක් හරි මෝඩ හොඳ කොල්ලෙක්,something stupid good boy,mokak hari moda honda kollek,,,
අපි මොනවද කරන්නේ මට උදව් කරන්න,what what do we do help me,api monawada karanne mata udaw karanna,,,
ඒ ඔයා පොඩි වැඩකට උනන්දු නැහැ,that s not you interested in a little work,e oya podi wedakata unandu nehe,,,
නෑ මගේ කැපුම මොකක්ද ඔයාට සමාන කැපුමක් ලැබෙනවා,no what s my cut you get an equal cut,ne mage kepuma mokakda oyata samana kepumak lebenawa,,,
"ඔබට සමාන කප්පාදුවක් ලැබේ, මා කළ යුත්තේ කුමක්ද?",you get an equal cut what do i have to do,obata samana lebe ma kala yuththe kumakda,,,
මම මොනවද කරන්න තියෙන්නේ පොඩි රංගනයක් විතරයි,what do i have to do just play a part a little acting,mama monawada karanna thiyenne podi ranganayak witharayi,,,
"සිරිත් විරිත් ගැන කුමක් ද, මම රේගු ගැන කරදර වෙමි",what about customs i ll worry about customs,sirith wirith gena kumak da mama regu gena karadara wemi,,,
මොකක්ද එයාගේ ප්රශ්නය ඒ ගැන වද වෙන්න එපා,what the hell s his problem don t worry about it,mokakda eyage prashnaya e gena wada wenna epa,,,
මට කාවවත් විශ්වාස නෑ එහෙනම් කොහොමද කියලා මට පෙන්වන්න,i don t trust anyone then show me how,mata kawawath wishwasa ne ehenam kohomada kiyala mata penwanna,,,
ඔබ අප මත ජින්ක්ස් මවක් දමා සැහැල්ලු කරන්න,you just put a mother of a jinx on us lighten up,oba apa matha mawak dama sehellu karanna,,,
ඔබ දෙස බලන්න ඔබට රුපියල් සිය ගණනකට යාමට අවශ්යයි,look at you you want to go for what a couple hundred bucks,oba desa balanna obata rupiyal siya gananakata yamata awashyayi,,,
ඔබේ මව ඔබට මව්කිරි නොදෙන්නේ ඇයිද යන්න හෝ එය මගේ කාර්යයයි,it s what i do it s my job why your mother not breast feed you or something,obe mawa obata mawkiri nodenne eyida yanna ho eya mage karyayayi,,,
ඔබට ඔප්පු කිරීමට යමක් තිබේද එවැනි මර්දනය කළ කෝපයෙන් නොවේ,do you have something to prove not in that repressed anger sort of way,obata oppu kireemata yamak thibeda eweni mardanaya kala kopayen nowe,,,
ඔයා කොහොමද දන්නේ මම intuition කරනවා කියලා,how do you know i will intuition,oya kohomada danne mama karanawa kiyala,,,
මුදල් ගැන කුමක් ගැනද?,what about what what about the money,mudal gena kumak genada,,,
ඔබ ඔවුන්ට සමාව ඉල්ලිය යුතු කතාව කියන්න,you tell them the tale what do you want an apology,oba owunta samawa illiya yuthu kathawa kiyanna,,,
"ඔබට සමාවක් අවශ්ය කුමක්ද, මට මගේ කප්පාදුව අවශ්යයි",what do you want an apology no i want my cut,obata samawak awashya kumakda mata mage kappaduwa awashyayi,,,
"ඔබට උදව් කිරීමට අවශ්ය නම්, ඔබේ අවුල වසා නොගන්නේ නම් උදව් කරන්න",if you wanna help then help if not shut up your mess,obata udaw kireemata awashya nam obe awula wasa noganne nam udaw karanna,,,
ඔයාගේ අවුල එහෙනම් කට වහගන්න,your mess then shut up,oyage awula ehenam kata wahaganna,,,
එවිට මගේ ස්ථානය වසා දමන්න,then shut up my place,ewita mage sthanaya wasa damanna,,,
අපි පැහැදිලි බව සහතිකයි ඔබ වටේ ඒ දේ රැව්දීම නවත්වන්න,stop waving that thing around you sure we re clear,api pehedili bawa sahathikayi oba wate e de nawathwanna,,,
අපි රජ්ජුරුවන්ට වැඩ කරනවා තත්පරයක් ඉන්න මවුලය කවුද කියලා,we re working for the king wait a second who s the mope,api rajjuruwanta weda karanawa thathparayak inna kawuda kiyala,,,
පියයුරු සඳහා අපට තවත් සිල්ලක් අවශ්ය කුමක්ද?,what do we need another shill for breasts,piyayuru sandaha apata thawath awashya kumakda,,,
නමුත් ඔබට නරක වාසනාව ගැන කතා කිරීමට අවශ්ය නම් ඇය කොහෙද,but if you wanna talk about bad luck where the hell is she,namuth obata naraka wasanawa gena katha kireemata awashya nam eya koheda,,,
පරිවාර ඔබට මතකද ඔහු එහි වාඩි වී සිටි ආකාරය ඔබට මතකද,escorts do you even remember al do you remember what he looked like sitting there,pariwara obata mathakada ohu ehi wadi wee siti akaraya obata mathakada,,,
සහ අපි රතු හිස ජේක් සිරිත් විරිත් ඉවත් කළා,and we got rid of the red head jake customs,saha api rathu hisa jek sirith wirith iwath kala,,,
මෙය සම්පූර්ණ ව්යසනයක් පමණක් බව ඔබට විශ්වාසයි,you re sure this is just a complete disaster what was it,meya sampurna wyasanayak pamanak bawa obata wishwasayi,,,
මට කණගාටුයි මෙය අපහසුතාවයක්,i m sorry this is embarrassing,mata kanagatuyi meya apahasuthawayak,,,
